density,method,trials,success_rate_percent,mean_planning_time,std_planning_time,median_planning_time,mean_first_solution_iteration,std_first_solution_iteration,median_first_solution_iteration,mean_node_count,std_node_count,median_node_count,mean_path_length,std_path_length,median_path_length
10,RRT*,50,100.0,5.831117062568665,3.340923405100198,5.228562116622925,342.34,190.51590645467084,315.0,410.78,173.0907854277633,390.5,153.08916386212107,17.557176913855965,152.61726264054073
10,GoalBias,50,100.0,3.738928256034851,5.776510221567801,1.526901125907898,176.66,212.43953377421087,73.0,230.76,193.8121918618272,141.5,134.08121926501556,19.53572183218563,128.84291892780607
10,Hybrid,50,100.0,1.0819911336898804,0.5256605255455242,0.9087938070297241,61.66,27.39030813247337,49.5,99.06,18.367462357914,95.0,133.44312559803004,16.642762500048907,136.1139544981689
20,RRT*,50,100.0,9.566830582618714,5.99465537496529,8.01542341709137,393.0,227.65261756833434,325.0,412.9,198.5108078073497,364.0,152.32324509361658,24.699077261646693,148.03137459377155
20,GoalBias,50,100.0,9.230507283210754,17.73921474278195,3.0459355115890503,252.12,251.02781698042784,138.5,266.02,212.68319738282005,165.0,140.00745888234067,24.538862322848093,137.26369355025082
20,Hybrid,50,100.0,3.356041011810303,2.3862035901027117,2.4010740518569946,108.54,74.21183414072591,84.5,134.12,46.292168862121635,138.0,134.18329683581177,18.864363022686796,133.03614609753356
30,RRT*,50,98.0,11.034643708443156,5.468183823253625,9.720367670059204,371.6530612244898,167.21686904291985,378.0,352.9591836734694,145.63738633784845,330.0,155.28643994931974,25.291308002234974,146.84526919592884
30,GoalBias,50,98.0,6.523605731068825,5.478286474216727,3.8311009407043457,241.24489795918367,226.28342576404089,136.0,213.10204081632654,135.53800895227988,155.0,139.95974436259414,20.276472415002974,139.4128630957295
30,Hybrid,50,100.0,14.601149382591247,21.915799999970602,7.880664944648743,203.46,181.3654794685503,117.5,194.58,128.7524265671866,165.0,137.7733243293891,22.280487218742735,138.15813811057404
40,RRT*,50,100.0,16.586444187164307,8.37647088567441,15.116762518882751,490.9,225.1179509429106,478.0,360.98,138.3704713692151,359.5,156.19346703558375,24.609180768439042,151.42499051035662
40,GoalBias,50,98.0,13.502301697828331,14.792549059788003,8.271481990814209,440.55102040816325,353.21983601012613,315.0,253.51020408163265,161.67419945281154,189.0,145.4118026575884,22.575917605061445,145.5153441534652
40,Hybrid,50,94.0,55.98926296132676,91.58188265428413,14.32025694847107,518.2765957446809,396.18839952552105,416.0,330.48936170212767,253.6616946232697,237.0,147.6493841487476,21.31757881773742,146.81121614771635
