safety_margin,method,trials,success_rate_percent,mean_planning_time,std_planning_time,median_planning_time,mean_first_solution_iteration,std_first_solution_iteration,median_first_solution_iteration,mean_node_count,std_node_count,median_node_count,mean_path_length,std_path_length,median_path_length
0.0,RRT*,50,100.0,14.61832727432251,8.38824206758611,12.945010423660278,386.32,196.226279211173,378.0,366.76,160.18886302341588,347.5,155.19859136882292,24.335862300863525,156.08282959036853
0.0,GoalBias,50,100.0,9.31371259689331,8.711727680302177,5.579993963241577,249.8,217.07010059293881,164.5,233.38,143.79689332740205,176.0,140.01970736037066,19.626196033779344,139.5198069398845
0.0,Hybrid,50,100.0,12.735036277770996,19.975334225741005,5.06580114364624,199.42,184.1924559158885,154.5,169.9,108.51300119603839,140.0,133.57519316763947,22.49349492888067,135.0338480667349
0.15,RRT*,50,98.0,13.637200297141561,6.60595208149256,12.460950136184692,371.6530612244898,167.21686904291985,378.0,352.9591836734694,145.63738633784845,330.0,155.28643994931974,25.291308002234974,146.84526919592884
0.15,GoalBias,50,98.0,8.137596081714241,7.067559261543294,4.855670213699341,241.24489795918367,226.28342576404089,136.0,213.10204081632654,135.53800895227988,155.0,139.95974436259414,20.276472415002974,139.4128630957295
0.15,Hybrid,50,100.0,17.983910775184633,27.23493550141899,9.72681748867035,203.46,181.3654794685503,117.5,194.58,128.7524265671866,165.0,137.7733243293891,22.280487218742735,138.15813811057404
0.3,RRT*,50,100.0,14.488543038368226,8.982081391590215,12.621318817138672,386.98,227.81943172035997,379.0,353.48,171.70516258151022,316.5,149.88643040372847,25.978794234350385,145.87898846073955
0.3,GoalBias,50,100.0,14.227167534828187,22.947216847456662,5.586605429649353,324.86,343.7643954685196,158.5,270.1,242.901361520621,159.0,135.11307556698188,23.401939725072275,135.54199660022593
0.3,Hybrid,50,100.0,25.2438494682312,49.23082950034458,10.249135255813599,280.22,235.71266579529944,212.5,226.22,148.59523023630197,183.5,133.23398100941586,21.33336047922211,129.46783642701678
0.45,RRT*,50,100.0,13.351611776351929,7.146417301283247,12.270114541053772,370.36,200.21679678360084,359.0,330.26,140.85074021959616,337.5,146.87539584192794,20.674169304646536,144.18588051143468
0.45,GoalBias,50,98.0,10.059578803120827,8.657062092607687,6.636408090591431,289.1224489795918,231.5914715482363,256.0,231.16326530612244,141.4272997778328,174.0,134.5223126713888,24.495335287176008,133.92612243874373
0.45,Hybrid,50,100.0,14.47515320777893,17.31056269888276,9.505979895591736,237.52,226.97911798224962,138.0,187.5,95.67979122562711,160.5,131.32347871951094,17.95608104199162,130.4582124031113
