method,episodes,success_rate,mean_length,mean_collisions,mean_clearance
A*+APF,16,0.8125,103.9375,0.0,14.372928358244238
A*+PurePursuit,16,0.0,300.0,0.0,26.987891870961157
Dijkstra+APF,16,0.6875,136.375,0.0,17.111522911052454
Greedy+APF,16,0.875,71.5,0.0,13.788420438001314
Hybrid A*+TEB,16,0.8125,35.94478357861881,0.0,13.925805409208344
RCRA*+UA-DWA (Ours),16,1.0,47.160656242477216,0.0,11.999478015326348
RRT*+DWA,16,0.0,12.473956340511448,0.0,19.448877331621574
no_adaptive,16,0.8125,32.03467285668844,0.0,13.078161396672153
no_corridor,16,1.0,48.83046355607596,0.0,11.999478015326348
no_global_term,16,0.0,18.20187945863281,0.0,16.841477014729776
no_risk,16,1.0,45.900334494651794,0.0,12.014590064703757
