episode,method,success,collisions,recoveries,path_length,global_ms,local_ms,expanded
0,SE2 Hybrid A*+Pure Pursuit,1,0,0,14.66999999999998,1119.3216659958125,27.520208001078572,116
0,SE2 Hybrid A*+TEB-like,1,0,0,14.699999999999918,1135.4986669975915,32.878291996894404,116
0,SE2-Risk-HA*+MPPI (Ours),1,0,0,14.750450106377077,1138.7830000021495,2221.235292003257,116
0,no_global_risk,1,0,0,14.750450106377077,1149.6036250027828,2297.6261250005336,116
0,no_dynamic_prediction,1,0,0,14.750450106377077,1205.375958001241,2178.4946670013596,116
0,no_kinodynamic_recovery,1,0,0,14.750450106377077,1112.5136249975185,2323.0933750019176,116
1,SE2 Hybrid A*+Pure Pursuit,1,0,0,14.66999999999998,1154.720582999289,29.34037500381237,116
1,SE2 Hybrid A*+TEB-like,1,0,0,14.699999999999918,1178.0808749972493,35.728916998778004,116
1,SE2-Risk-HA*+MPPI (Ours),1,0,0,14.686078683675333,1144.7381670004688,2377.485124998202,116
1,no_global_risk,1,0,0,14.67210816704399,1121.1254580048262,2402.068250004959,116
1,no_dynamic_prediction,1,0,0,14.674746841017424,1201.4290829974925,2349.981958999706,116
1,no_kinodynamic_recovery,1,0,0,14.686078683675333,1208.3449580022716,2534.82583299774,116
2,SE2 Hybrid A*+Pure Pursuit,1,0,0,14.66999999999998,1600.8707910004887,28.518457998870872,169
2,SE2 Hybrid A*+TEB-like,1,0,0,14.699999999999918,1583.1097089976538,34.293582997634076,169
2,SE2-Risk-HA*+MPPI (Ours),1,0,0,14.695397520567319,1737.5574170000618,2551.0331249970477,177
2,no_global_risk,1,0,0,14.686997357310265,1588.8298339996254,2457.016416999977,169
2,no_dynamic_prediction,1,0,0,14.723758524361909,1664.1531659988686,2372.6202079997165,177
2,no_kinodynamic_recovery,1,0,0,14.695397520567319,1653.8171670035808,2372.657583997352,177
3,SE2 Hybrid A*+Pure Pursuit,1,0,0,14.66999999999998,1125.6652919983026,27.093041004263796,116
3,SE2 Hybrid A*+TEB-like,1,0,0,14.699999999999918,1092.3866250013816,32.67833299469203,116
3,SE2-Risk-HA*+MPPI (Ours),1,0,0,14.67375474420093,1089.1669999982696,2311.879332999524,116
3,no_global_risk,1,0,0,14.67375474420093,1273.4237499971641,2414.836500000092,116
3,no_dynamic_prediction,1,0,0,14.695919870833938,1143.2158749958035,2295.4108330013696,116
3,no_kinodynamic_recovery,1,0,0,14.67375474420093,1146.83220799634,2424.550874995475,116
4,SE2 Hybrid A*+Pure Pursuit,1,0,0,14.66999999999998,1264.317041997856,28.962208001757972,116
4,SE2 Hybrid A*+TEB-like,1,0,0,14.699999999999918,1171.7528330045752,33.81416699994588,116
4,SE2-Risk-HA*+MPPI (Ours),1,0,0,14.696984651335192,1179.512333997991,2494.891333997657,116
4,no_global_risk,1,0,0,14.708899500729892,1183.37454200082,2471.3222079953994,116
4,no_dynamic_prediction,1,0,0,14.687700409762737,1217.823082995892,2421.8588749936316,116
4,no_kinodynamic_recovery,1,0,0,14.696984651335192,1180.7955000040238,2505.7511250051903,116
5,SE2 Hybrid A*+Pure Pursuit,1,0,0,14.66999999999998,1819.4359589979285,27.99179199791979,172
5,SE2 Hybrid A*+TEB-like,1,0,0,14.699999999999918,1795.3904589958256,35.14004199678311,172
5,SE2-Risk-HA*+MPPI (Ours),1,0,0,14.691287012135373,1837.5599999999395,2447.542207999504,172
5,no_global_risk,1,0,0,14.717668503509458,1734.7730410037911,2374.3911669953377,172
5,no_dynamic_prediction,1,0,0,14.697825158107808,1777.389167000365,2378.8595000005444,172
5,no_kinodynamic_recovery,1,0,0,14.691287012135373,1761.3881659999606,2574.8372910020407,172
